0 qid:413 1:1.3163400888442993 2:2.509976625442505 3:1.4163397550582886 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:7.051584243774414 14:7.051584243774414 15:10.981271743774414 16:0.0 17:11.079072952270508 18:0.0 19:7.051584243774414 20:7.051584243774414 21:8.496341705322266 22:0.0 23:8.07721996307373 24:0.0 25:8.213079452514648 26:8.213079452514648 27:4.714643955230713 28:0.0 29:4.219188690185547 30:0.0 31:8.024263381958008 32:8.024263381958008 33:0.0 34:976.0 #docno: FT922-8924
0 qid:415 1:1.6649444103240967 2:0.0 3:1.9650434255599976 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:19.908294677734375 16:0.0 17:20.48244857788086 18:0.0 19:1.3135045766830444 20:0.0 21:14.526130676269531 22:0.0 23:17.64168930053711 24:0.0 25:0.0 26:0.0 27:9.987855911254883 28:0.0 29:9.661470413208008 30:0.0 31:0.9720103740692139 32:0.0 33:0.0 34:1169.0 #docno: FBIS3-1819
0 qid:433 1:1.2437512874603271 2:0.0 3:1.5000429153442383 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.849432945251465 16:0.0 17:9.979595184326172 18:0.0 19:0.0 20:0.0 21:7.800383567810059 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:7.2009077072143555 28:0.0 29:7.086968421936035 30:0.0 31:0.0 32:0.0 33:0.0 34:513.0 #docno: FBIS3-19068
0 qid:360 1:1.2232757806777954 2:0.0 3:1.4467887878417969 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:11.68509292602539 16:0.0 17:11.404373168945312 18:0.0 19:0.0 20:0.0 21:8.708613395690918 22:0.0 23:9.375837326049805 24:0.0 25:0.0 26:0.0 27:4.939169406890869 28:0.0 29:4.784226417541504 30:0.0 31:0.0 32:0.0 33:0.0 34:1593.0 #docno: FT942-15383
0 qid:446 1:0.9379436373710632 2:0.0 3:1.0697355270385742 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:10.249608993530273 16:0.0 17:10.728776931762695 18:0.0 19:0.0 20:0.0 21:7.396988868713379 22:0.0 23:7.551154136657715 24:0.0 25:0.0 26:0.0 27:4.91420841217041 28:0.0 29:4.755651950836182 30:0.0 31:0.0 32:0.0 33:0.0 34:1740.0 #docno: FT933-7664
0 qid:415 1:1.59489905834198 2:0.0 3:1.7387455701828003 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:18.911903381347656 16:16.666597366333008 17:17.896255493164062 18:0.0 19:0.0 20:0.0 21:13.517467498779297 22:0.0 23:13.27837085723877 24:0.0 25:0.0 26:0.0 27:9.723363876342773 28:0.0 29:9.512941360473633 30:0.0 31:0.0 32:0.0 33:0.0 34:1816.0 #docno: FBIS3-46183
0 qid:365 1:0.7779383063316345 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:7.6907548904418945 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:5.934288501739502 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:3.783112049102783 28:0.0 29:3.68030047416687 30:0.0 31:0.0 32:0.0 33:0.0 34:2554.0 #docno: FR940916-2-00037
0 qid:381 1:0.7579796314239502 2:0.0 3:0.8085826635360718 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:8.639161109924316 16:0.0 17:8.739367485046387 18:0.0 19:0.0 20:0.0 21:6.57708740234375 22:0.0 23:6.741888523101807 24:0.0 25:0.0 26:0.0 27:4.265563011169434 28:0.0 29:4.1327104568481445 30:0.0 31:0.0 32:0.0 33:0.0 34:4547.0 #docno: FR941003-2-00050
1 qid:322 1:0.9514282941818237 2:0.0 3:0.0 4:0.0 5:528155.0 6:0.0 7:0.0 8:0.0 9:528155.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.019840240478516 16:0.0 17:9.836142539978027 18:0.0 19:0.6960479617118835 20:0.0 21:6.961059093475342 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:3.9318084716796875 28:0.0 29:3.998849391937256 30:0.0 31:0.0 32:0.0 33:1.0 34:83.0 #docno: LA072790-0018
0 qid:411 1:0.701297402381897 2:0.0 3:0.9459066987037659 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.038128852844238 16:0.0 17:9.590937614440918 18:0.0 19:0.0 20:0.0 21:6.797510623931885 22:5.935932159423828 23:0.0 24:0.0 25:0.0 26:0.0 27:5.543875694274902 28:0.0 29:5.447968482971191 30:0.0 31:0.0 32:0.0 33:0.0 34:492.0 #docno: FT923-6451
1 qid:344 1:1.255839228630066 2:2.9953060150146484 3:1.1214714050292969 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:12.813812255859375 16:0.0 17:12.768975257873535 18:0.0 19:0.0 20:0.0 21:11.159080505371094 22:0.0 23:11.599414825439453 24:0.0 25:0.0 26:0.0 27:6.574746131896973 28:0.0 29:6.35460901260376 30:0.0 31:0.0 32:0.0 33:0.0 34:1683.0 #docno: LA012390-0031
1 qid:303 1:2.298299789428711 2:0.0 3:2.5844056606292725 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:27.914093017578125 16:9.594635009765625 17:27.68992042541504 18:0.0 19:1.6539088487625122 20:0.0 21:19.49761962890625 22:6.429031848907471 23:18.153644561767578 24:0.0 25:0.0 26:0.0 27:13.206111907958984 28:3.7103307247161865 29:12.513778686523438 30:0.0 31:0.0 32:0.0 33:0.0 34:1260.0 #docno: LA122990-0029
0 qid:320 1:1.9791159629821777 2:0.0 3:2.143059015274048 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:24.88793182373047 16:0.0 17:26.437034606933594 18:0.0 19:22.506681442260742 20:0.0 21:16.77926254272461 22:0.0 23:16.683998107910156 24:0.0 25:0.0 26:0.0 27:11.678949356079102 28:0.0 29:10.696052551269531 30:0.0 31:0.0 32:0.0 33:0.0 34:1107.0 #docno: FBIS4-44603
0 qid:382 1:0.9869655966758728 2:0.0 3:1.151177167892456 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:12.426372528076172 16:0.0 17:13.362960815429688 18:0.0 19:0.0 20:0.0 21:8.342742919921875 22:0.0 23:8.851985931396484 24:0.0 25:0.0 26:0.0 27:6.276151657104492 28:0.0 29:6.182253360748291 30:0.0 31:4.495012283325195 32:0.0 33:0.0 34:964.0 #docno: FBIS4-67739
0 qid:383 1:1.2647544145584106 2:3.0780673027038574 3:1.3073747158050537 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:15.281978607177734 16:0.0 17:15.42225170135498 18:0.0 19:0.0 20:0.0 21:11.064615249633789 22:0.0 23:11.475530624389648 24:0.0 25:9.983171463012695 26:0.0 27:7.210273742675781 28:4.506468296051025 29:6.511152267456055 30:0.0 31:0.0 32:0.0 33:0.0 34:4132.0 #docno: LA031689-0103
0 qid:346 1:0.8690845370292664 2:0.0 3:1.012906551361084 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:8.875168800354004 16:0.0 17:8.83519172668457 18:0.0 19:0.0 20:0.0 21:6.4736809730529785 22:0.0 23:6.309135437011719 24:0.0 25:0.0 26:0.0 27:3.6002469062805176 28:0.0 29:3.3674917221069336 30:0.0 31:0.0 32:0.0 33:0.0 34:1495.0 #docno: FT942-9924
0 qid:428 1:1.0130735635757446 2:0.0 3:1.0706647634506226 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:12.212071418762207 16:0.0 17:11.822834014892578 18:0.0 19:10.785869598388672 20:0.0 21:8.847745895385742 22:0.0 23:8.545785903930664 24:0.0 25:0.0 26:0.0 27:5.444953441619873 28:0.0 29:5.245245933532715 30:0.0 31:0.0 32:0.0 33:0.0 34:1102.0 #docno: LA012489-0150
1 qid:428 1:1.3989040851593018 2:0.0 3:1.8857169151306152 4:0.0 5:0.0 6:0.0 7:1047750.0 8:0.0 9:0.0 10:0.0 11:2095500.0 12:0.0 13:0.0 14:0.0 15:14.918681144714355 16:0.0 17:15.21870231628418 18:0.0 19:0.0 20:0.0 21:11.303715705871582 22:0.0 23:11.323585510253906 24:0.0 25:0.6064465045928955 26:0.0 27:7.654526233673096 28:0.0 29:7.277584075927734 30:0.0 31:1.0185948610305786 32:0.0 33:0.0 34:649.0 #docno: LA062189-0133
1 qid:314 1:0.9035390615463257 2:0.0 3:0.9723753929138184 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.197803497314453 16:0.0 17:8.964523315429688 18:0.0 19:0.0 20:0.0 21:6.954309463500977 22:0.0 23:7.419013023376465 24:0.0 25:0.0 26:0.0 27:4.714096546173096 28:0.0 29:4.643548488616943 30:0.0 31:0.0 32:0.0 33:0.0 34:1636.0 #docno: LA092889-0009
0 qid:368 1:0.9337360858917236 2:0.0 3:1.0423473119735718 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:11.219045639038086 16:0.0 17:10.73367691040039 18:0.0 19:14.171156883239746 20:14.171156883239746 21:8.68050765991211 22:0.0 23:8.844756126403809 24:0.0 25:14.171156883239746 26:14.171156883239746 27:6.906859874725342 28:0.0 29:6.83685302734375 30:0.0 31:0.0 32:0.0 33:0.0 34:871.0 #docno: LA113089-0169
1 qid:387 1:1.6536872386932373 2:0.0 3:2.119621992111206 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:13.972087860107422 14:13.972087860107422 15:17.29668426513672 16:0.0 17:17.25779914855957 18:0.0 19:16.024168014526367 20:16.024168014526367 21:12.352195739746094 22:0.0 23:12.710854530334473 24:0.0 25:16.024168014526367 26:16.024168014526367 27:7.5538740158081055 28:0.0 29:7.078807353973389 30:0.0 31:0.0 32:0.0 33:0.0 34:1179.0 #docno: FBIS4-45922
1 qid:311 1:0.6188980340957642 2:0.0 3:0.0 4:0.0 5:528155.0 6:0.0 7:0.0 8:0.0 9:528155.0 10:0.0 11:0.0 12:0.0 13:4.443294525146484 14:4.443294525146484 15:9.068150520324707 16:0.0 17:10.120439529418945 18:0.0 19:0.0 20:0.0 21:6.2498345375061035 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:4.794615745544434 28:0.0 29:4.832287788391113 30:0.0 31:0.0 32:0.0 33:1.0 34:2558.0 #docno: LA080989-0051
0 qid:423 1:0.8473737239837646 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:12.684263229370117 14:0.0 15:11.213601112365723 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:7.783668518066406 22:0.0 23:7.4561872482299805 24:0.0 25:13.312762260437012 26:0.0 27:5.508636474609375 28:0.0 29:5.419178485870361 30:0.0 31:11.868844032287598 32:0.0 33:0.0 34:2461.0 #docno: FBIS4-9292
1 qid:437 1:1.51073157787323 2:0.0 3:1.7390594482421875 4:0.0 5:0.0 6:0.0 7:523875.0 8:0.0 9:0.0 10:0.0 11:523875.0 12:0.0 13:0.0 14:0.0 15:14.767229080200195 16:0.0 17:14.968823432922363 18:0.0 19:0.0 20:0.0 21:10.770487785339355 22:0.0 23:10.578106880187988 24:0.0 25:0.0 26:0.0 27:6.664694786071777 28:0.0 29:6.56278657913208 30:0.0 31:0.0 32:0.0 33:0.0 34:900.0 #docno: FT923-9558
0 qid:382 1:1.0434049367904663 2:0.0 3:1.5023057460784912 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:12.982086181640625 16:0.0 17:12.762971878051758 18:0.0 19:0.0 20:0.0 21:8.851215362548828 22:0.0 23:8.95733642578125 24:0.0 25:0.0 26:0.0 27:6.600461959838867 28:0.0 29:6.544013977050781 30:0.0 31:0.0 32:0.0 33:0.0 34:480.0 #docno: LA091690-0189
0 qid:383 1:1.39497971534729 2:0.0 3:2.340620517730713 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:16.211055755615234 16:10.984481811523438 17:15.99964427947998 18:0.0 19:0.0 20:0.0 21:12.600303649902344 22:5.964682579040527 23:12.308268547058105 24:0.0 25:0.0 26:0.0 27:7.919018268585205 28:0.0 29:7.531747341156006 30:0.0 31:0.0 32:0.0 33:0.0 34:321.0 #docno: FT923-2644
0 qid:410 1:0.6433604955673218 2:0.0 3:0.8209953904151917 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:4.494653701782227 16:0.0 17:4.459389686584473 18:0.0 19:0.0 20:0.0 21:4.487227916717529 22:0.0 23:4.345652103424072 24:0.0 25:0.0 26:0.0 27:2.637432813644409 28:0.0 29:2.4610226154327393 30:0.0 31:0.0 32:0.0 33:0.0 34:1229.0 #docno: FBIS4-32819
0 qid:399 1:0.8289588093757629 2:0.0 3:1.0618475675582886 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:8.993827819824219 16:0.0 17:8.956613540649414 18:0.0 19:0.0 20:0.0 21:6.3228864669799805 22:0.0 23:6.081298351287842 24:0.0 25:0.0 26:0.0 27:4.40573263168335 28:0.0 29:4.235180377960205 30:0.0 31:0.0 32:0.0 33:0.0 34:838.0 #docno: FBIS4-3763
1 qid:341 1:1.4438093900680542 2:0.0 3:1.6137369871139526 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:11.027087211608887 16:8.64244270324707 17:10.655564308166504 18:0.0 19:0.0 20:0.0 21:9.829489707946777 22:0.0 23:10.06203556060791 24:0.0 25:0.0 26:0.0 27:5.096321105957031 28:0.0 29:4.950719833374023 30:0.0 31:0.0 32:0.0 33:0.0 34:1969.0 #docno: FT941-4175
0 qid:333 1:0.9000256061553955 2:2.6493911743164062 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:12.353578567504883 16:0.0 17:12.53786849975586 18:0.0 19:0.0 20:0.0 21:8.29217529296875 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:7.0665602684021 28:0.0 29:6.7873735427856445 30:0.0 31:0.0 32:0.0 33:0.0 34:720.0 #docno: FT923-8415
1 qid:425 1:1.0335959196090698 2:0.0 3:1.14860200881958 4:0.0 5:746923.9310925 6:0.0 7:0.0 8:0.0 9:1056310.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:12.852563858032227 16:0.0 17:13.17596435546875 18:0.0 19:0.0 20:0.0 21:9.087126731872559 22:0.0 23:8.862070083618164 24:0.0 25:0.0 26:0.0 27:6.069291591644287 28:0.0 29:5.905794143676758 30:0.0 31:11.244535446166992 32:11.244535446166992 33:1.0 34:1998.0 #docno: FBIS3-47774
0 qid:305 1:0.7419840693473816 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:7.93463134765625 16:7.547530651092529 17:0.0 18:0.0 19:0.0 20:0.0 21:5.631983280181885 22:0.0 23:5.611665725708008 24:0.0 25:0.0 26:0.0 27:3.5299856662750244 28:0.0 29:3.3991212844848633 30:0.0 31:0.0 32:0.0 33:0.0 34:4864.0 #docno: FR940505-1-00444
0 qid:419 1:1.102856993675232 2:3.564769983291626 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:10.569157600402832 16:8.730856895446777 17:0.0 18:0.0 19:0.0 20:0.0 21:7.835472583770752 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:5.483946800231934 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:555.0 #docno: LA111190-0232
0 qid:435 1:0.8499200344085693 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:2.612516403198242 14:0.0 15:10.37013053894043 16:0.0 17:0.0 18:0.0 19:2.637660264968872 20:0.0 21:7.524587631225586 22:0.0 23:0.0 24:0.0 25:0.0 26:0.0 27:4.97481632232666 28:0.0 29:4.873625755310059 30:0.0 31:3.4547624588012695 32:0.0 33:0.0 34:3508.0 #docno: FBIS3-19569
0 qid:327 1:0.7010371088981628 2:0.0 3:0.7460446953773499 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.946226119995117 16:0.0 17:10.615187644958496 18:0.0 19:0.0 20:0.0 21:6.974086284637451 22:0.0 23:7.865137577056885 24:0.0 25:0.0 26:0.0 27:6.4558024406433105 28:0.0 29:5.6758646965026855 30:0.0 31:0.0 32:0.0 33:0.0 34:3185.0 #docno: FBIS3-3927
0 qid:441 1:0.7494211196899414 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:8.18562126159668 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:6.076579570770264 22:0.0 23:6.159310340881348 24:0.0 25:0.0 26:0.0 27:3.8774898052215576 28:0.0 29:3.7684381008148193 30:0.0 31:0.0 32:0.0 33:0.0 34:1028.0 #docno: LA121690-0061
1 qid:304 1:1.2758698463439941 2:2.5479252338409424 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:17.140579223632812 16:0.0 17:16.74472427368164 18:0.0 19:10.181554794311523 20:0.0 21:11.661027908325195 22:0.0 23:11.161086082458496 24:0.0 25:0.0 26:0.0 27:8.469372749328613 28:0.0 29:8.210672378540039 30:0.0 31:0.0 32:0.0 33:0.0 34:680.0 #docno: LA070790-0090
0 qid:407 1:0.9347929954528809 2:2.7886390686035156 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:12.521764755249023 16:0.0 17:13.243937492370605 18:0.0 19:0.0 20:0.0 21:8.597715377807617 22:6.4476094245910645 23:7.345517158508301 24:0.0 25:0.0 26:0.0 27:6.2596025466918945 28:2.473724126815796 29:5.4457244873046875 30:0.0 31:11.063665390014648 32:0.0 33:0.0 34:2001.0 #docno: FT933-6866
0 qid:378 1:0.8846580982208252 2:0.0 3:1.0209507942199707 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.974905014038086 16:0.0 17:9.904257774353027 18:0.0 19:0.0 20:0.0 21:7.439541339874268 22:0.0 23:7.555566310882568 24:0.0 25:0.0 26:0.0 27:4.622409820556641 28:0.0 29:4.520501136779785 30:0.0 31:0.0 32:0.0 33:0.0 34:1345.0 #docno: FT923-10453
0 qid:438 1:1.2787816524505615 2:0.0 3:1.5288960933685303 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:11.97101879119873 16:0.0 17:11.927101135253906 18:0.0 19:0.48711082339286804 20:0.48711082339286804 21:9.2247314453125 22:6.138591766357422 23:9.207466125488281 24:0.0 25:0.0 26:0.0 27:5.5942230224609375 28:0.0 29:5.3480224609375 30:0.0 31:0.0 32:0.0 33:0.0 34:759.0 #docno: FBIS3-52543
1 qid:439 1:0.8737801909446716 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:11.640682220458984 16:8.679012298583984 17:0.0 18:0.0 19:0.0 20:0.0 21:8.226614952087402 22:0.0 23:8.73501968383789 24:0.0 25:0.0 26:0.0 27:6.06973123550415 28:0.0 29:5.809382438659668 30:0.0 31:0.0 32:0.0 33:0.0 34:747.0 #docno: FBIS4-45134
0 qid:322 1:0.9840846061706543 2:0.0 3:1.9916406869888306 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:9.222102165222168 16:0.0 17:9.936762809753418 18:0.0 19:0.0 20:0.0 21:7.193366050720215 22:0.0 23:7.2439284324646 24:0.0 25:0.0 26:0.0 27:4.075748443603516 28:0.0 29:4.152677059173584 30:0.0 31:0.0 32:0.0 33:0.0 34:390.0 #docno: FT934-5436
